word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,web_corpus_freq,arousal_std,valence_std,dominance_std,concretness_std,imageability_std,familiarity_std,aoa_std,semsize_std,gender_std,Words
abattoir,8,4.2,2.864,4.333,5.455,4.391,2.382,6.76,4.652,5.391,0,160074.0,2.400,1.740,1.285,1.900,2.121,1.799,0.427,1.549,1.170,abattoir
abbey,5,3.125,5.781,4.667,5.906,5.344,3.324,5.177,5.121,3.303,0,4224864.0,2.342,1.268,1.551,1.508,1.881,1.810,1.339,1.629,1.193,abbey
abbreviate,10,3.273,5.25,5.235,3.286,3.177,5.121,5.543,2.667,3.971,0,140105.0,1.582,1.031,1.238,1.733,1.689,1.838,1.130,1.700,0.954,abbreviate
abdicate,8,4.194,3.767,4.419,3.367,2.516,3.971,6.233,4.679,5.167,0,124123.0,1.941,1.383,2.182,1.853,1.521,2.077,0.844,1.441,1.186,abdicate
abdication,10,3.846,3.88,4.8,3.292,2.571,3.097,6.407,5.083,4.571,0,128143.0,2.282,1.608,1.960,1.620,1.294,2.022,0.913,1.351,1.015,abdication
abdomen,7,4.714,5.486,5.441,6.606,6.235,4.636,5.457,3.529,4.6,0,1490684.0,2.092,0.967,1.666,0.649,1.165,1.738,1.179,1.480,1.020,abdomen
abdominal,9,3.875,5.212,4.667,5.735,5.03,4.807,5.706,3.788,4.242,0,3090148.0,1.900,1.122,1.511,1.120,1.527,1.635,1.446,1.451,1.129,abdominal
abduct,6,4.677,2.177,3.065,4.441,4.265,4.364,5.03,4.438,5.0,0,126225.0,2.468,1.424,2.299,1.718,1.651,1.936,1.218,1.368,1.000,abduct
abducted,8,5.344,1.969,2.871,4.813,4.212,5.406,5.29,5.161,4.546,0,837949.0,2.922,0.918,2.549,1.285,1.871,1.730,1.300,1.648,1.499,abducted
abduction,9,5.324,1.618,2.886,4.912,4.8,4.441,5.114,5.059,4.686,0,1188510.0,2.575,0.805,2.122,1.805,1.802,1.802,1.389,1.533,1.008,abduction
aberration,10,4.852,3.269,4.852,3.208,2.84,2.485,6.414,4.72,4.32,0,443062.0,2.505,1.788,1.799,1.802,1.994,1.940,1.067,1.662,0.786,aberration
